CMDLINE python tracing_client_bench_mem.py
MEM 0.250000 1732394288.2336
MEM 32.109375 1732394288.3388
MEM 41.296875 1732394288.4393
MEM 49.125000 1732394288.5444
MEM 61.281250 1732394288.6495
MEM 68.296875 1732394288.7499
MEM 64.906250 1732394288.8550
MEM 68.937500 1732394288.9603
MEM 66.937500 1732394289.0616
MEM 70.015625 1732394289.1668
MEM 69.312500 1732394289.2701
MEM 68.359375 1732394289.3705
MEM 69.359375 1732394289.4706
MEM 67.328125 1732394289.5712
MEM 66.890625 1732394289.6763
MEM 66.781250 1732394289.7814
MEM 66.515625 1732394289.8846
MEM 66.515625 1732394289.9898
MEM 66.515625 1732394290.0949
MEM 66.515625 1732394290.2000
MEM 66.515625 1732394290.3051
MEM 66.625000 1732394290.4103
MEM 66.625000 1732394290.5155
MEM 66.625000 1732394290.6206
MEM 66.625000 1732394290.7257
MEM 66.625000 1732394290.8309
MEM 66.656250 1732394290.9363
MEM 66.656250 1732394291.0414
MEM 66.656250 1732394291.1420
MEM 66.656250 1732394291.2471
MEM 66.656250 1732394291.3522
MEM 66.656250 1732394291.4569
MEM 66.593750 1732394291.5570
MEM 66.593750 1732394291.6621
MEM 66.593750 1732394291.7648
MEM 66.593750 1732394291.8655
MEM 66.593750 1732394291.9685
MEM 66.593750 1732394292.0687
MEM 66.593750 1732394292.1695
MEM 66.593750 1732394292.2747
MEM 66.718750 1732394292.3779
MEM 66.718750 1732394292.4830
MEM 66.718750 1732394292.5881
MEM 66.718750 1732394292.6932
MEM 66.671875 1732394292.7961
MEM 66.671875 1732394292.9012
MEM 66.671875 1732394293.0063
MEM 66.062500 1732394293.1115
MEM 66.062500 1732394293.2166
MEM 66.062500 1732394293.3217
MEM 66.062500 1732394293.4268
MEM 66.062500 1732394293.5320
MEM 66.062500 1732394293.6370
MEM 66.062500 1732394293.7421
MEM 66.062500 1732394293.8472
MEM 66.062500 1732394293.9523
MEM 66.062500 1732394294.0574
MEM 66.078125 1732394294.1625
MEM 66.078125 1732394294.2676
MEM 66.078125 1732394294.3727
MEM 66.078125 1732394294.4778
MEM 66.078125 1732394294.5829
MEM 66.078125 1732394294.6880
MEM 66.078125 1732394294.7919
MEM 66.078125 1732394294.8970
MEM 66.218750 1732394295.0020
MEM 66.218750 1732394295.1071
MEM 66.218750 1732394295.2122
MEM 66.234375 1732394295.3173
MEM 66.234375 1732394295.4224
MEM 66.234375 1732394295.5275
MEM 66.234375 1732394295.6326
MEM 66.234375 1732394295.7376
MEM 66.234375 1732394295.8427
MEM 66.234375 1732394295.9478
MEM 66.234375 1732394296.0486
MEM 66.078125 1732394296.1494
MEM 66.078125 1732394296.2500
MEM 66.078125 1732394296.3524
MEM 66.203125 1732394296.4575
MEM 66.203125 1732394296.5626
MEM 66.203125 1732394296.6677
